	BPM	SpO2	Pleth
3.15	82	98	29
5.18	82	98	91
7.24	68	98	59
10.38	68	98	28
12.43	69	98	60
14.48	69	97	22
16.52	69	97	75
19.67	80	97	20
20.64	80	97	41
22.74	70	97	43
24.78	70	97	53
27.91	81	97	67
29.98	73	97	44
30.95	73	97	49
34.1	73	98	35
35.07	73	98	26
38.22	68	98	53
40.28	73	97	27
41.25	73	98	94
44.41	74	98	34
46.47	74	98	57
48.53	74	98	73
49.5	74	98	45
52.66	80	98	47
53.62	80	98	51
56.74	72	98	66
58.82	72	98	27
60.88	71	98	73
62.95	71	98	41
63.92	71	98	52
67.06	71	98	34
68.03	71	98	18
71.19	73	98	36
72.15	73	98	57
75.28	77	98	18
77.33	75	98	58
79.41	75	98	74
81.48	75	98	94
83.54	86	98	5
85.61	86	97	36
86.58	74	97	35
88.64	74	97	69
90.7	74	96	47
93.85	74	96	59
94.82	74	96	60
97.96	74	97	41
100.02	74	96	52
102.07	74	96	40
104.15	86	97	62
105.11	86	97	58
107.16	86	97	19
109.23	75	97	44
111.31	75	97	51
113.36	75	97	18
116.49	73	97	43
118.51	69	97	33
121.63	70	98	39
123.69	70	98	66
125.75	71	98	32
127.83	71	98	27
129.87	71	98	59
133.01	78	97	62
133.98	78	97	35
137.15	78	97	58
138.15	78	98	43
140.21	74	98	41
142.3	73	98	68
143.28	73	98	59
145.34	71	97	5
147.39	71	97	38
150.51	71	97	22
152.57	71	97	54
154.66	71	97	62
156.73	71	97	43
158.78	68	99	83
160.86	68	99	71
162.92	66	98	62
164.99	66	98	41
165.96	66	98	69
169.13	66	98	51
170.11	66	98	57
172.17	61	98	39
174.21	61	98	91
176.27	70	99	36
180.47	73	98	87
181.43	73	98	74
184.57	66	99	34
186.63	68	99	49
188.69	68	99	80
191.77	64	98	77
193.84	64	98	55
195.89	64	99	42
199.02	64	98	58
200.0	64	98	50
203.13	64	98	20
205.19	63	98	31
207.24	68	99	48
209.32	69	99	32
211.37	69	99	15
213.41	68	99	48
215.46	68	98	63
218.6	68	98	17
220.65	66	98	53
222.71	66	98	66
224.76	83	98	28
226.8	83	98	5
229.94	68	97	43
231.96	68	97	36
234.01	68	98	95
237.15	67	98	22
239.21	67	98	91
241.26	72	98	68
243.31	69	98	25
245.36	69	97	55
248.5	69	97	78
249.47	72	97	65
252.61	73	97	60
254.67	76	97	39
256.72	76	97	68
258.77	76	97	53
260.82	70	97	7
263.96	72	97	42
264.94	74	97	80
268.08	72	97	46
270.11	69	97	34
272.15	69	97	61
274.23	70	97	28
276.28	70	97	65
279.39	70	98	43
281.48	70	97	41
283.52	70	97	54
285.59	75	97	34
287.65	75	97	74
289.69	75	97	29
291.74	75	97	47
293.8	71	97	42
296.93	81	98	76
297.9	81	98	69
301.03	81	98	90
304.13	79	98	30
306.15	79	98	56
308.21	76	98	89
311.34	76	97	12
313.41	76	97	84
315.48	76	97	38
316.44	76	97	7
319.58	76	97	54
321.62	76	97	57
323.68	76	97	94
326.82	66	97	10
327.78	66	97	82
330.87	67	97	51
334.02	65	98	13
334.98	65	98	91
337.05	70	98	59
340.21	69	98	33
341.17	69	98	93
344.29	69	98	54
346.35	69	98	27
348.38	69	98	65
350.44	69	98	26
353.58	76	98	60
355.65	76	98	32
356.62	76	98	31
359.8	65	97	19
360.74	65	97	47
363.87	65	98	94
365.91	65	98	84
369.05	65	98	41
371.1	65	98	56
372.07	65	97	34
375.19	65	97	77
